Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
B_AnzZonen18599;Wie viele Nutzungszonen (DIN 18599) hat dieser Bereich?;Bereich;;;;;;Einzelauswahl;"1;2;3;4;5;6;weiß nicht";1;-;«Gebaeudenutzung» = Nichtwohngebäude;Ja;Nein;Eine Zone = Räume mit gleichem Nutzungsprofil und gleicher Konditionierung (DIN V 18599-10). Legt je Zone einen Datensatz an, dem Räume zugeordnet werden.;Nutzung & Betrieb;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;
Z18599_Bezeichnung;Bezeichnung der Zone?;Bereich;;;;18599-Zone;;Text;;;-;immer;Ja;Nein;Frei, z. B. Z1 Büro EG.;Nutzung & Betrieb;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;Sub-Objekt
Z18599_Nutzungsprofil;Nutzungsprofil nach DIN V 18599-10?;Bereich;;;;18599-Zone;;Einzelauswahl;(Nutzungsprofile DIN 18599-10);;-;immer;Ja;Nein;"Aus dem Normkatalog wählen; bestimmt Nutzungsrandbedingungen (Solltemperatur, Betriebszeiten, Luftwechsel, Beleuchtung).";Nutzung & Betrieb;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;Sub-Objekt
Z18599_Beheizt;Zone beheizt?;Bereich;;;;18599-Zone;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;;Nutzung & Betrieb;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;Sub-Objekt
Z18599_Gekuehlt;Zone gekühlt?;Bereich;;;;18599-Zone;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Trennt z. B. Einzelbüro von Einzelbüro mit Kühlung.;Nutzung & Betrieb;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;Sub-Objekt
Z18599_MechLueftung;Zone mechanisch be-/entlüftet (RLT)?;Bereich;;;;18599-Zone;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;;Nutzung & Betrieb;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;Sub-Objekt
Z18599_Beleuchtung;Kunstbeleuchtung bilanzrelevant?;Bereich;;;;18599-Zone;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;;Nutzung & Betrieb;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;Sub-Objekt
