Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
B_AnzLueftungsbereiche;Wie viele Lüftungsbereiche hat dieser Bereich?;Bereich;;;;;;Einzelauswahl;"1;2;3;4;5;weiß nicht";1;-;immer;Ja;Nein;Ein Lüftungsbereich = zusammenhängende Räume mit gemeinsamem Luftverbund (z. B. Wohnen/Schlafen per Querlüftung). Legt je Zone einen Datensatz an, dem Räume zugeordnet werden.;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
LB_Bezeichnung;Bezeichnung des Lüftungsbereichs?;Bereich;;;;Lüftungsbereich;;Text;;;-;immer;Ja;Nein;Frei wählbar, z. B. LB1 Wohnen/Schlafen (Querlüftung).;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;Sub-Objekt
LB_Lueftungsart;Lüftungsart in diesem Bereich?;Bereich;;;;Lüftungsbereich;;Einzelauswahl;"freie Lüftung (Fensterlüftung);Querlüftung;Schachtlüftung;ventilatorgestützt – Abluft;ventilatorgestützt – Zu-/Abluft mit WRG;weiß nicht";;-;immer;Ja;Nein;Grundprinzip der Lüftung in dieser Zone (DIN 1946-6).;Lüftung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;Sub-Objekt
LB_Zuluftart;Wie strömt die Zuluft nach?;Bereich;;;;Lüftungsbereich;;Einzelauswahl;"Fensterlüftung;Außenluftdurchlässe (ALD);ventilatorgestützt;weiß nicht";;-;immer;Nein;Nein;z. B. natürlicher Zustrom über ALD im Kinderzimmer, Abluft im Bad.;Lüftung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;Sub-Objekt
LB_Feuchteschutz;Feuchteschutz nutzerunabhängig sichergestellt?;Bereich;;;;Lüftungsbereich;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;DIN 1946-6: Lüftung zum Feuchteschutz muss ohne Zutun der Nutzer gewährleistet sein.;Lüftung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;Sub-Objekt
