Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
UF_Laenge;Länge der Wand (m)?;Raum;;;;;Umfassungsfläche;Zahl;;;m;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
UF_Flaeche;Fläche (m², falls abweichend berechnet)?;Raum;;;;;Umfassungsfläche;Zahl;;;m²;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
R_Kond_Gekuehlt;Wird der Raum gekühlt?;Raum;;;;;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Gebaeudenutzung» = Nichtwohngebäude;Nein;Nein;Zonentrennkriterium: gleiches Nutzungsprofil mit/ohne Kühlung = verschiedene Zonen.;Nutzung & Betrieb;6;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
R_Kond_MechLueftung;Wird der Raum mechanisch be-/entlüftet (RLT)?;Raum;;;;;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Gebaeudenutzung» = Nichtwohngebäude;Nein;Nein;Zonentrennkriterium: raumlufttechnisch versorgt vs. frei belüftet.;Nutzung & Betrieb;7;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
R_Kond_Beleuchtung;Kunstbeleuchtung bilanzrelevant (18599)?;Raum;;;;;;Ja/Nein;"Ja;Nein;weiß nicht";;-;«Gebaeudenutzung» = Nichtwohngebäude;Nein;Nein;Zonentrennkriterium: abweichende Beleuchtungsanforderung = eigene Zone.;Nutzung & Betrieb;8;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;
R_Zone18599;Welcher Nutzungszone (DIN 18599) gehört der Raum an?;Raum;;;;;;Einzelauswahl;(18599-Zonen des Bereichs);;-;«Gebaeudenutzung» = Nichtwohngebäude;Nein;Nein;Nur für Nichtwohngebäude. Zone = Nutzungsprofil + Konditionierung. Zonen werden am Bereich angelegt.;Nutzung & Betrieb;9;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Planer;;;
AR_Nutzung;Überwiegende Nutzung des Raums?;Raum;;;Aufenthalt;;;Einzelauswahl;"Wohnen;Schlafen;Kinderzimmer;Arbeiten/Homeoffice;Essen;Büro;Verkauf/Laden;Aufenthalt allgemein;weiß nicht";;-;immer;Ja;Nein;Verfeinert Belegung und Solltemperatur.;Nutzung & Betrieb;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
AR_Lueftung;Lüftung des Raums?;Raum;;;Aufenthalt;;;Einzelauswahl;"Fensterlüftung;dezentrale Lüftung (Zuluftgerät);zentrale Zu-/Abluft;weiß nicht";;-;immer;Ja;Nein;Aufenthaltsräume sind Zulufträume – für die Lüftungsbilanz relevant.;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
AR_Aussenluftdurchlass;Außenluftdurchlass (ALD) im Fenster/Wand vorhanden?;Raum;;;Aufenthalt;;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Nachströmöffnung für die freie Lüftung (DIN 1946-6).;Lüftung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
AR_Feuchte;Feuchte-/Schimmelspuren? (Mehrfach);Raum;;;Aufenthalt;;;Mehrfachauswahl;"keine;Schimmel in Raumecken/an Außenwand;Feuchte an Fensterlaibung;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
NR_Lueftung;Entlüftung des Raums?;Raum;;;Nassraum;;;Einzelauswahl;"Fensterlüftung;mechanische Abluft (Ventilator);zentrale Abluftanlage;keine;weiß nicht";;-;immer;Ja;Nein;Nassräume sind Ablufträume – für die Lüftungsbilanz relevant.;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
NR_AbluftVolumen;Abluftvolumenstrom (m³/h, falls bekannt)?;Raum;;;Nassraum;;;Zahl;;;m³/h;«NR_Lueftung» ungleich Fensterlüftung;Nein;Nein;;Lüftung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
NR_Abdichtung;Abdichtung im Nassbereich?;Raum;;;Nassraum;;;Einzelauswahl;"Verbundabdichtung (unter Fliesen);Fliesen ohne Abdichtung;unbekannt;weiß nicht";;-;immer;Nein;Nein;;Bauphysik – Hülle;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
NR_Feuchte;Feuchte-/Schimmelspuren? (Mehrfach);Raum;;;Nassraum;;;Mehrfachauswahl;"keine;Schimmel an Fugen;Feuchte an Wänden/Decke;abblätternde Farbe;weiß nicht";;-;immer;Nein;Nein;;Schäden / Mangel;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
ER_Lueftung;Lüftung des Raums?;Raum;;;Erschließung;;;Einzelauswahl;"Überströmung aus Nachbarräumen;Fensterlüftung;mechanische Entlüftung;weiß nicht";;-;immer;Nein;Nein;Flure/Treppenhäuser sind meist Überströmräume.;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
ER_Rauchabzug;Rauchabzug / RWA vorhanden?;Raum;;;Erschließung;;;Einzelauswahl;"ja, RWA/Rauchabzug;nein;weiß nicht";;-;immer;Nein;Nein;Relevant in Treppenhäusern/Fluchtwegen.;Lüftung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
LG_Lueftung;Lüftung des Raums?;Raum;;;Lager;;;Einzelauswahl;"Fensterlüftung;Kellerlüftung/Schacht;mechanische Abluft;keine;weiß nicht";;-;immer;Nein;Nein;;Lüftung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
