Frage;Kontext_Objekttyp;HilfeText_Override;HilfeMedien_Override;Aktiv
Foto_Uebersicht;Röhrenheizkörper;Ganzen Röhrenheizkörper inkl. Anschlüsse und Ventil zeigen – von schräg vorne, damit die Gliederzahl erkennbar ist.;;Ja
Typenschild_vorh;Röhrenheizkörper;"Ältere Röhren-/Gliederheizkörper haben oft keins. Wenn nichts sichtbar ist: ""Nein"".";;Ja
Schaeden;Röhrenheizkörper;Bei Röhrenheizkörpern besonders auf Roststellen an den Gliederverbindungen und Kalk-/Feuchtespuren unter den Anschlüssen achten.;;Ja
